Order_ID,Order_Date,Location,Customer_Type,Category,Product,Quantity,Unit_Price,Discount_Percent,Discount_Amount,Net_Sales,Cost,Profit,Payment_Method
111,2025-09-17 00:00:00,Mysuru,Wholesale,Fitness,Resistance Band,3,1134,0.1,340.2,3061.8,1783.47,1278.33,UPI
112,2025-09-16 00:00:00,Davanagere,Retail,Electronics,Wireless Mouse,6,2146,0.1,1287.6,11588.4,9276.43,2311.97,UPI
113,2025-06-27 00:00:00,Mangaluru,Online,Electronics,Headphones,2,2459,0.1,491.8,4426.2,2702.63,1723.57,UPI
114,2025-04-08 00:00:00,Bengaluru,Wholesale,Stationery,Desk Organizer,3,372,0,0,1116,881.6,234.4,Net Banking
115,2025-09-18 00:00:00,Davanagere,Wholesale,Electronics,Wireless Mouse,3,1304,0,0,3912,2886.44,1025.56,Cash
116,2025-10-11 00:00:00,Mysuru,Wholesale,Fitness,Gym Gloves,5,1313,0.1,656.5,5908.5,4072.97,1835.53,Card
117,2025-02-09 00:00:00,Bengaluru,Online,Home,Storage Box,3,1462,0.05,219.3,4166.7,3032.45,1134.25,Card
118,2025-12-29 00:00:00,Mangaluru,Online,Electronics,Power Bank,5,2066,0.05,516.5,9813.5,5898.79,3914.71,UPI
119,2025-01-31 00:00:00,Hubballi,Wholesale,Fitness,Dumbbells,7,1710,0.05,598.5,11371.5,6747.91,4623.59,Cash
120,2025-10-22 00:00:00,Davanagere,Retail,Fitness,Resistance Band,2,1940,0.15,582,3298,2376.5,921.5,Card
121,2025-03-15 00:00:00,Hubballi,Wholesale,Electronics,Headphones,1,1597,0,0,1597,1203.34,393.66,Net Banking
122,2025-01-12 00:00:00,Mangaluru,Online,Home,Table Lamp,6,854,0,0,5124,3997.5,1126.5,Card
123,2025-01-07 00:00:00,Davanagere,Online,Stationery,File Folder,5,695,0,0,3475,2634.08,840.92,Cash
124,2025-10-12 00:00:00,Mangaluru,Online,Electronics,Keyboard,4,2350,0,0,9400,7187.23,2212.77,Net Banking
125,2025-01-22 00:00:00,Mangaluru,Online,Fitness,Resistance Band,3,997,0,0,2991,2235.6,755.4,Net Banking
126,2025-09-14 00:00:00,Hubballi,Wholesale,Home,Table Lamp,2,1700,0,0,3400,2468.23,931.77,Card
127,2025-03-13 00:00:00,Hubballi,Online,Home,Water Bottle,4,1778,0.05,355.6,6756.4,5257.1,1499.3,Card
128,2025-06-30 00:00:00,Bengaluru,Wholesale,Fitness,Resistance Band,4,776,0,0,3104,1805.51,1298.49,Net Banking
129,2025-06-15 00:00:00,Mangaluru,Retail,Electronics,Wireless Mouse,1,1363,0.05,68.15,1294.85,820.67,474.18,Net Banking
130,2025-04-05 00:00:00,Mysuru,Wholesale,Home,Storage Box,6,160,0.1,96,864,657.12,206.88,Card
131,2025-03-17 00:00:00,Davanagere,Wholesale,Electronics,Wireless Mouse,1,2045,0.05,102.25,1942.75,1436.99,505.76,Net Banking
132,2025-10-16 00:00:00,Davanagere,Wholesale,Electronics,Wireless Mouse,1,2299,0,0,2299,1346.83,952.17,Cash
133,2025-04-16 00:00:00,Bengaluru,Wholesale,Fitness,Skipping Rope,7,884,0,0,6188,4967.59,1220.41,Net Banking
134,2025-12-14 00:00:00,Hubballi,Wholesale,Fitness,Skipping Rope,6,500,0,0,3000,2185.26,814.74,Cash
135,2025-05-07 00:00:00,Mysuru,Wholesale,Fitness,Dumbbells,1,336,0.05,16.8,319.2,216.87,102.33,Card
136,2025-06-22 00:00:00,Mangaluru,Retail,Fitness,Resistance Band,5,2085,0.05,521.25,9903.75,7370.22,2533.53,Card
137,2025-08-31 00:00:00,Mangaluru,Online,Stationery,Pen Set,3,256,0.1,76.8,691.2,412.67,278.53,Cash
138,2025-10-20 00:00:00,Bengaluru,Wholesale,Stationery,File Folder,4,581,0,0,2324,1822.24,501.76,UPI
139,2025-03-07 00:00:00,Hubballi,Online,Home,Bedsheet,7,1081,0.05,378.35,7188.65,5724.6,1464.05,UPI
140,2025-08-13 00:00:00,Davanagere,Online,Home,Wall Clock,3,1693,0.05,253.95,4825.05,3477.83,1347.22,UPI
141,2025-02-10 00:00:00,Davanagere,Online,Fitness,Gym Gloves,6,263,0,0,1578,1020.95,557.05,Cash
142,2025-01-28 00:00:00,Mysuru,Wholesale,Stationery,Notebook,2,498,0.05,49.8,946.2,621.75,324.45,Card
143,2025-04-03 00:00:00,Bengaluru,Retail,Home,Storage Box,2,1534,0,0,3068,2198.62,869.38,Net Banking
144,2025-05-01 00:00:00,Hubballi,Online,Home,Bedsheet,3,836,0.05,125.4,2382.6,1764.21,618.39,Card
145,2025-11-30 00:00:00,Mysuru,Wholesale,Stationery,Marker Set,2,342,0,0,684,494.4,189.6,UPI
146,2025-06-10 00:00:00,Mysuru,Wholesale,Fitness,Gym Gloves,1,525,0.15,78.75,446.25,361.72,84.53,Cash
147,2025-07-04 00:00:00,Hubballi,Online,Home,Wall Clock,7,1357,0,0,9499,6934.78,2564.22,Net Banking
148,2025-12-02 00:00:00,Mangaluru,Online,Electronics,USB Cable,2,1241,0,0,2482,1815.84,666.16,Cash
149,2025-11-07 00:00:00,Bengaluru,Online,Electronics,Wireless Mouse,7,2343,0.1,1640.1,14760.9,11564.34,3196.56,Net Banking
150,2025-10-16 00:00:00,Davanagere,Wholesale,Fitness,Resistance Band,1,1342,0.05,67.1,1274.9,821.18,453.72,Net Banking
151,2025-06-10 00:00:00,Hubballi,Wholesale,Electronics,Wireless Mouse,1,1462,0.05,73.1,1388.9,1040.82,348.08,UPI
152,2025-04-12 00:00:00,Bengaluru,Retail,Fitness,Resistance Band,3,1604,0,0,4812,3032.3,1779.7,Card
153,2025-07-18 00:00:00,Mysuru,Wholesale,Stationery,Pen Set,7,654,0.05,228.9,4349.1,3032.78,1316.32,Cash
154,2025-09-22 00:00:00,Bengaluru,Retail,Stationery,Pen Set,3,499,0.1,149.7,1347.3,1037.04,310.26,Cash
155,2025-08-16 00:00:00,Mysuru,Retail,Home,Bedsheet,7,1093,0.05,382.55,7268.45,5401.79,1866.66,UPI
156,2025-05-04 00:00:00,Mysuru,Wholesale,Electronics,Power Bank,7,2177,0,0,15239,10353.06,4885.94,Cash
157,2025-02-21 00:00:00,Davanagere,Wholesale,Home,Wall Clock,6,900,0.05,270,5130,2945.64,2184.36,UPI
158,2025-12-11 00:00:00,Bengaluru,Wholesale,Fitness,Skipping Rope,6,1859,0.05,557.7,10596.3,6356.06,4240.24,UPI
159,2025-03-25 00:00:00,Mangaluru,Online,Electronics,USB Cable,4,2148,0,0,8592,4986.13,3605.87,Cash
160,2025-01-26 00:00:00,Bengaluru,Wholesale,Fitness,Resistance Band,1,1906,0.1,190.6,1715.4,1360.32,355.08,Card
161,2025-06-01 00:00:00,Hubballi,Wholesale,Fitness,Skipping Rope,3,491,0,0,1473,903.71,569.29,UPI
162,2025-05-30 00:00:00,Mangaluru,Retail,Electronics,Wireless Mouse,5,1337,0,0,6685,4382.32,2302.68,Cash
163,2025-09-20 00:00:00,Hubballi,Wholesale,Electronics,Headphones,5,1927,0.05,481.75,9153.25,5073.39,4079.86,Card
164,2025-10-15 00:00:00,Mysuru,Wholesale,Stationery,Pen Set,7,402,0,0,2814,1793.39,1020.61,UPI
165,2025-02-18 00:00:00,Davanagere,Online,Stationery,Desk Organizer,4,477,0.05,95.4,1812.6,1129.63,682.97,Cash
166,2025-09-16 00:00:00,Hubballi,Wholesale,Electronics,Keyboard,6,1503,0,0,9018,7383.76,1634.24,Net Banking
167,2025-11-29 00:00:00,Hubballi,Retail,Electronics,Power Bank,5,1366,0,0,6830,4587.03,2242.97,Net Banking
168,2025-01-03 00:00:00,Hubballi,Retail,Stationery,File Folder,6,397,0,0,2382,1948.41,433.59,UPI
169,2025-08-19 00:00:00,Hubballi,Retail,Stationery,File Folder,1,509,0,0,509,288.62,220.38,Card
170,2025-12-27 00:00:00,Davanagere,Wholesale,Electronics,Keyboard,5,2360,0.1,1180,10620,6643.02,3976.98,Card
171,2025-05-23 00:00:00,Davanagere,Retail,Electronics,Headphones,6,1689,0,0,10134,6660.45,3473.55,Card
172,2025-06-07 00:00:00,Mysuru,Wholesale,Stationery,Pen Set,6,56,0.1,33.6,302.4,192.65,109.75,Card
173,2025-07-25 00:00:00,Bengaluru,Wholesale,Stationery,Pen Set,4,586,0,0,2344,1487.75,856.25,Net Banking
174,2025-01-25 00:00:00,Hubballi,Retail,Fitness,Gym Gloves,5,1853,0,0,9265,7038.76,2226.24,Card
175,2025-11-12 00:00:00,Mysuru,Retail,Home,Storage Box,7,821,0.05,287.35,5459.65,3540.56,1919.09,Card
176,2025-05-10 00:00:00,Mysuru,Retail,Electronics,Wireless Mouse,6,1039,0.15,935.1,5298.9,3256.59,2042.31,UPI
177,2025-09-20 00:00:00,Hubballi,Retail,Fitness,Dumbbells,4,1825,0.1,730,6570,4704.84,1865.16,Net Banking
178,2025-03-04 00:00:00,Mangaluru,Retail,Stationery,Pen Set,5,532,0,0,2660,1808.91,851.09,Cash
179,2025-03-03 00:00:00,Bengaluru,Retail,Fitness,Skipping Rope,3,1744,0,0,5232,3633.8,1598.2,UPI
180,2025-08-01 00:00:00,Mangaluru,Online,Fitness,Gym Gloves,5,714,0,0,3570,2491.68,1078.32,UPI
181,2025-02-03 00:00:00,Davanagere,Retail,Home,Bedsheet,4,743,0.05,148.6,2823.4,2208.13,615.27,Cash
182,2025-07-11 00:00:00,Davanagere,Wholesale,Fitness,Yoga Mat,1,1403,0,0,1403,868.12,534.88,Cash
183,2025-10-11 00:00:00,Mangaluru,Online,Electronics,Power Bank,3,1108,0.05,166.2,3157.8,1793.62,1364.18,UPI
184,2025-03-28 00:00:00,Mysuru,Online,Stationery,Notebook,5,249,0.05,62.25,1182.75,860.97,321.78,Net Banking
185,2025-10-04 00:00:00,Mysuru,Online,Electronics,USB Cable,2,2300,0.15,690,3910,3145.3,764.7,Card
186,2025-12-16 00:00:00,Bengaluru,Retail,Home,Wall Clock,6,287,0,0,1722,1397.1,324.9,Cash
187,2025-02-18 00:00:00,Davanagere,Wholesale,Stationery,Marker Set,4,218,0,0,872,489.48,382.52,UPI
188,2025-09-15 00:00:00,Mysuru,Wholesale,Electronics,Headphones,6,1130,0.1,678,6102,4437.67,1664.33,Card
189,2025-07-02 00:00:00,Hubballi,Retail,Electronics,Keyboard,1,2038,0,0,2038,1271.56,766.44,Net Banking
190,2025-05-02 00:00:00,Mangaluru,Wholesale,Electronics,Wireless Mouse,6,388,0,0,2328,1754.99,573.01,Net Banking
191,2025-08-12 00:00:00,Davanagere,Wholesale,Stationery,File Folder,3,284,0.1,85.2,766.8,430.68,336.12,UPI
192,2025-10-10 00:00:00,Mangaluru,Retail,Stationery,File Folder,2,137,0.05,13.7,260.3,181.27,79.03,Net Banking
193,2025-01-23 00:00:00,Davanagere,Wholesale,Stationery,Marker Set,5,416,0.05,104,1976,1172.2,803.8,Net Banking
194,2025-09-18 00:00:00,Bengaluru,Wholesale,Fitness,Resistance Band,3,1497,0.1,449.1,4041.9,2940.65,1101.25,UPI
195,2025-03-07 00:00:00,Hubballi,Retail,Stationery,Marker Set,1,549,0,0,549,414.75,134.25,Cash
196,2025-01-20 00:00:00,Mangaluru,Wholesale,Electronics,Keyboard,3,2128,0,0,6384,3726.17,2657.83,Net Banking
197,2025-10-20 00:00:00,Bengaluru,Retail,Electronics,Keyboard,6,1842,0.05,552.6,10499.4,6782.44,3716.96,Net Banking
198,2025-08-09 00:00:00,Davanagere,Wholesale,Home,Bedsheet,6,847,0.05,254.1,4827.9,3442.01,1385.89,Cash
199,2025-03-01 00:00:00,Mangaluru,Online,Stationery,File Folder,3,455,0,0,1365,1040.02,324.98,Net Banking
200,2025-08-16 00:00:00,Mysuru,Online,Home,Wall Clock,6,262,0,0,1572,958.24,613.76,Card
201,2025-04-28 00:00:00,Hubballi,Online,Fitness,Resistance Band,5,1533,0,0,7665,4584.65,3080.35,Card
202,2025-03-02 00:00:00,Bengaluru,Online,Stationery,Desk Organizer,2,668,0.05,66.8,1269.2,899.04,370.16,UPI
203,2025-02-04 00:00:00,Davanagere,Retail,Fitness,Dumbbells,6,2105,0,0,12630,9683.59,2946.41,Net Banking
204,2025-05-06 00:00:00,Hubballi,Retail,Electronics,USB Cable,7,1359,0.05,475.65,9037.35,6838.46,2198.89,Card
205,2025-02-05 00:00:00,Hubballi,Wholesale,Fitness,Yoga Mat,5,663,0,0,3315,2070.03,1244.97,Net Banking
206,2025-08-05 00:00:00,Mysuru,Retail,Fitness,Skipping Rope,5,1969,0,0,9845,7062,2783,UPI
207,2025-01-07 00:00:00,Mangaluru,Wholesale,Home,Table Lamp,6,821,0,0,4926,3882.56,1043.44,Cash
208,2025-06-14 00:00:00,Bengaluru,Online,Home,Table Lamp,2,1255,0.05,125.5,2384.5,1434.57,949.93,Card
209,2025-06-10 00:00:00,Bengaluru,Retail,Fitness,Resistance Band,2,1266,0.1,253.2,2278.8,1598.65,680.15,UPI
210,2025-02-12 00:00:00,Davanagere,Retail,Fitness,Skipping Rope,1,1215,0,0,1215,946.08,268.92,UPI
211,2025-03-07 00:00:00,Hubballi,Online,Fitness,Yoga Mat,2,886,0.05,88.6,1683.4,1057.95,625.45,Cash
212,2025-11-15 00:00:00,Hubballi,Wholesale,Fitness,Dumbbells,1,526,0,0,526,336.2,189.8,Card
213,2025-03-20 00:00:00,Bengaluru,Wholesale,Electronics,Power Bank,6,1131,0.05,339.3,6446.7,3592.97,2853.73,Card
214,2025-02-11 00:00:00,Mysuru,Retail,Fitness,Yoga Mat,4,2064,0.1,825.6,7430.4,4849.92,2580.48,Card
